feature,total_ss,between_study_ss,between_fraction
Type_Carbon-Based,1.9932773109243698,1.9932773109243698,1.0
Type_Inorganic,135.2873949579832,109.01406162464986,0.8057961472205658
Type_Organic,134.67899159663867,108.40565826330533,0.8049188442691824
Subtype_Carbon,0.9983193277310926,0.9983193277310926,1.0
Subtype_DNA,5.939495798319327,5.939495798319327,1.0
Subtype_Graphene,0.9983193277310924,0.9983193277310924,1.0
Subtype_Latex,1.99327731092437,0.9932773109243695,0.4983136593591904
Subtype_Lipid,69.2436974789916,68.7436974789916,0.9927791262135922
Subtype_Lipid-DNA,3.9731092436974786,3.9731092436974786,1.0
Subtype_Metal,120.99831932773108,118.99831932773108,0.9834708447926216
Subtype_Metal Oxide,48.27899159663865,46.27899159663865,0.9585741140430272
Subtype_Niosome,23.031932773109236,23.031932773109236,1.0
Subtype_PEG,3.973109243697479,1.9731092436974793,0.49661590524534693
Subtype_Polystyrene,74.27899159663866,51.00565826330532,0.6866767731619754
Subtype_Silica,118.79663865546217,92.02330532212886,0.7746288646181126
Mod_Charge_Negative,118.79663865546219,40.60041276014538,0.34176398608293956
Mod_Charge_Neutral,74.27899159663865,36.334776720605596,0.489166262755913
Mod_Charge_No Modification,145.85546218487394,89.18212885154061,0.611441817232055
Mod_Charge_Positive,74.98487394957982,14.187683866935203,0.18920727767676274
Size_Group_100~150,109.14957983193275,36.98726578234599,0.3388676881697442
Size_Group_50~100,120.56470588235295,43.842061254253764,0.36363926684343967
Size_Group_<50,121.42857142857144,45.91450806768989,0.3781194782045049
Size_Group_>150,86.47058823529412,35.36051936477071,0.4089311763272803
Size_Group_MISSING,7.892436974789917,7.892436974789917,1.0
ZP_Group_+10~+50,32.941176470588246,18.929271708683476,0.5746386054421768
ZP_Group_-10~+10,107.58655462184875,45.123699446720835,0.4194176456837394
ZP_Group_-50~-10,145.11596638655465,54.52834930666482,0.37575706288179334
ZP_Group_<-50,31.169747899159667,8.809747899159664,0.282637765555915
ZP_Group_>+50,33.82184873949579,14.911848739495799,0.440893957463725
ZP_Group_MISSING,5.939495798319326,5.939495798319326,1.0
ZP_Charge_MISSING,5.939495798319326,5.939495798319326,1.0
ZP_Charge_Negative,138.127731092437,62.26011401254716,0.4507430442832789
ZP_Charge_Neutral,107.58655462184875,45.123699446720835,0.4194176456837394
ZP_Charge_Positive,62.52773109243697,30.439159663865546,0.48681055800451567
In_Time_30~60,148.48739495798318,117.91906162464987,0.7941351631767593
In_Time_<30,68.51092436974791,30.40425770308124,0.4437870016027214
In_Time_>60,134.67899159663867,101.897324929972,0.7565940591176447
Shaking_MISSING,1.9932773109243698,1.9932773109243698,1.0
Shaking_N,75.68739495798319,75.18739495798319,0.99339388017942
Shaking_Y,74.27899159663865,73.77899159663865,0.9932686215947144
