block,regime,LR,PREVALENCE,RF,BSS_LR,BSS_RF
COMBINED,LOSO,0.15005119077232795,0.12084188024203166,0.13255735029713153,-0.241715127833112,-0.0969487567690539
COMBINED,RANDOM,0.10804738502835798,0.11860382088551032,0.10129150386638872,0.08900586657610798,0.1459676163033009
EXPERIMENTAL_CONTEXT,LOSO,0.1250248481639994,0.12084188024203166,0.12545118403862185,-0.03461521712166138,-0.03814326446558347
EXPERIMENTAL_CONTEXT,RANDOM,0.11738788219529786,0.11860382088551032,0.11739826041928324,0.01025210386254094,0.01016460057716706
NP_INTRINSIC,LOSO,0.1485577945391637,0.12084188024203166,0.13128229980040096,-0.22935686073090245,-0.0863973610594142
NP_INTRINSIC,RANDOM,0.11268920389083426,0.11860382088551032,0.10582711453486572,0.04986868846649983,0.10772592531380676
