model,target,regime,gap,ci_low,ci_high,n_studies,fraction_studies_positive,median_study_gap,q25,q75,min_gap,max_gap,top3_share_positive_gap,leave_one_study_mean_min,leave_one_study_mean_max
LR,APOE,LOSO,0.0279101889234971,0.009539843267284874,0.05366072364186786,51,0.5686274509803921,0.0012127763459560525,-0.00014454260361619633,0.009923750342162243,-0.028706521574763916,0.46310847390402854,0.6560154008861194,0.019206223223886473,0.02904252313346232
LR,APOE,GROUP_STUDY,0.029116912163686465,0.006287953961029055,0.057013371269284435,51,0.5882352941176471,0.00078987376206497,-0.0008915919605279286,0.02494322459047811,-0.1197964854743688,0.46442178562661307,0.5812487973941556,0.02041081469442793,0.03209518011644757
LR,APOB,LOSO,0.0701144586317594,0.043504153582269084,0.09759226657948784,51,0.7450980392156863,0.015802304207079232,6.841228757722485e-05,0.1245455761994882,-0.03199952510279258,0.35673760873119986,0.27216541569553737,0.0643819956297706,0.07215673830645043
LR,APOB,GROUP_STUDY,0.05275208291938184,0.024729730312525924,0.08252177205225193,51,0.7254901960784313,0.013897653964791347,-0.001741195611508104,0.13765152174523565,-0.1495002380108305,0.3482282337982122,0.2701831136106098,0.046842559901805234,0.05679712933798609
LR,CO3,LOSO,0.02186804451173487,0.00032227123181775044,0.06274231626022571,50,0.26,-6.575449267069433e-06,-3.745923275024954e-05,1.804155669583996e-07,-0.008304959212435875,0.9429829749622081,0.9657264201693868,0.0030697806249905214,0.02248382009794244
LR,CO3,GROUP_STUDY,0.02453275148616713,0.0011006599056884267,0.06690319205527133,50,0.48,-4.770376391691653e-07,-9.080484648550728e-05,9.414870568361755e-05,-0.019974731880264007,0.9519597449646875,0.9128167579533666,0.005605669986605489,0.025441067473237152
LR,CLUS,LOSO,0.04812253090888522,0.017442442924534972,0.09154834418133247,51,0.6862745098039216,0.00740658925957851,-9.258112096672455e-05,0.036222739281704185,-0.10350227795011824,0.8119471901949252,0.5643745860744959,0.03284603772316442,0.05115502708606529
LR,CLUS,GROUP_STUDY,0.046709271525852115,0.015669133292479924,0.08807313802877942,51,0.7058823529411765,0.006832825163039067,-0.0009049868861175198,0.05024098837598054,-0.097720697214981,0.7673864417741264,0.5191969506394593,0.03229572812088663,0.04959787090066878
LR,OVERALL_MACRO,LOSO,0.04200380574396915,0.02353156909788193,0.06891595078652754,51,0.803921568627451,0.022649966572800617,0.0011887539344284076,0.049577475336941575,-0.01819737072860904,0.530528244403923,0.40536978646666344,0.03213932565133635,0.04321006089439812
LR,OVERALL_MACRO,GROUP_STUDY,0.038277754523771884,0.01953039919405668,0.06430392584763558,51,0.7450980392156863,0.013342274348665641,-0.0006520149350297704,0.06304391333427684,-0.04779078037367235,0.4922138799211846,0.3949289212429375,0.029104396608325825,0.04000162864217182
RF,APOE,LOSO,0.010351726756568235,0.002000763376515056,0.022758428424827122,51,0.6470588235294118,0.0012313657575719734,-0.0002658492232946747,0.007650816710383493,-0.03559478402716576,0.2429410818191151,0.6568953381282773,0.0056999396553173,0.011270656972242917
RF,APOE,GROUP_STUDY,0.018780750581238865,0.007782989742569803,0.032972448236198784,51,0.7058823529411765,0.002960540011035075,-0.0005895205290811685,0.016745887445101373,-0.056641995976116744,0.24904957413999862,0.49601348797292105,0.01417537411006367,0.02028920551238598
RF,APOB,LOSO,0.05160890082556796,0.029037570735829493,0.07564309014694647,51,0.8235294117647058,0.015313050759506869,0.0037992897043448506,0.08176301285676871,-0.06861509931850895,0.42860715824499485,0.32963769560153794,0.04406893567717942,0.054013380828449496
RF,APOB,GROUP_STUDY,0.035799060495962744,0.013522449164687422,0.058380038522570385,51,0.7058823529411765,0.01607370765032598,-0.002372524116931096,0.06309061521729795,-0.1564463464312139,0.2870110581398761,0.3110700156364471,0.03077482054308448,0.03964396863450628
RF,CO3,LOSO,0.02106826093441741,0.0006160277662502531,0.060761144456696496,50,0.64,3.068022465434657e-05,-2.5246420643363073e-05,0.00038749622455820664,-0.005287012982455153,0.9288035649150445,0.9485467311290673,0.002543050649098491,0.02160612366741481
RF,CO3,GROUP_STUDY,0.024569723470607863,0.0008094282240305328,0.06661671349426412,50,0.46,-1.074632977923013e-06,-0.00015456921217368592,0.0011482947877614477,-0.06257766975572843,0.9459409715069582,0.8347980597078422,0.005766228612723161,0.02634824169971677
RF,CLUS,LOSO,0.042034497206417644,0.014967972803295385,0.08154518583982164,51,0.7647058823529411,0.004576292772902108,0.0005617160189829171,0.02877048528455095,-0.04648399288026578,0.788485577392904,0.6047283657980751,0.027105475602687917,0.04380486700815132
RF,CLUS,GROUP_STUDY,0.03682154308055834,0.014220005625897364,0.06874534457944456,51,0.7450980392156863,0.006507244481687199,-0.00012836906367422359,0.034903399723354905,-0.07053185980023408,0.6468637639990024,0.49954639469082546,0.024620698662189463,0.038968611138174195
RF,OVERALL_MACRO,LOSO,0.031265846430742816,0.015278653372538338,0.05710233493502122,51,0.8627450980392157,0.01187463647582371,0.002229567493575297,0.03861670152315219,-0.018074676019652014,0.5378528663704308,0.46891566108000554,0.021041479980522457,0.03225458249927746
RF,OVERALL_MACRO,GROUP_STUDY,0.028992769407091955,0.014971921281714392,0.05195473136344518,51,0.8235294117647058,0.01822489914538921,0.0028087911412853364,0.03591237990873923,-0.03402111832917997,0.4724747387477076,0.40639770089186716,0.02002911254599022,0.030250808790580723
