regime,LR,PREVALENCE,RF,BSS_LR,BSS_RF
GROUP_STUDY,0.1463251395521307,0.12073370986152454,0.1302842732734807,-0.21196590181779573,-0.07910436466261306
LOSO,0.15005119077232798,0.12084188024203166,0.13255735029713153,-0.24171512783311222,-0.0969487567690539
RANDOM,0.10804738502835881,0.11860382088551032,0.10129150386638872,0.08900586657610099,0.1459676163033009
